🕘️更新时间,#genre#
2025-09-11 18:27:11,http://qjrhc.jydjd.top:2911/udp/224.1.100.90:11111

央视频道,#genre#
CCTV-1,http://qjrhc.jydjd.top:2911/udp/224.1.100.90:11111
CCTV-1,http://218.241.192.50:8808/rtp/239.3.1.129:8008
CCTV-1,http://120.76.248.139/live/bfgd/4200000489.m3u8
CCTV-2,http://php.cqshushu.ggff.net/jzb.php?id=cctv2&公众号【医工学习日志】
CCTV-2,http://218.241.192.50:8808/rtp/239.3.1.60:8084
CCTV-2,http://drive.mxmy.net:8888/udp/239.3.1.60:8084
CCTV-2,http://qjrhc.jydjd.top:2911/udp/224.1.100.94:11111
CCTV-2,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8
CCTV-3,http://php.cqshushu.ggff.net/jzb.php?id=cctv3&公众号【医工学习日志】
CCTV-3,http://8.138.7.223/tv/mgitv.php?id=13
CCTV-3,http://qjrhc.jydjd.top:2911/udp/224.1.100.64:11111
CCTV-3,http://nas.hssvm.com:8888/udp/225.1.1.158:5002
CCTV-4,http://drive.mxmy.net:8888/udp/239.3.1.214:4220
CCTV-4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV-4,http://218.241.192.50:8808/rtp/239.3.1.105:8092
CCTV-4,http://qjrhc.jydjd.top:2911/udp/224.1.100.104:11111
CCTV-4,http://home.yulei.online:9999/rtp/226.0.2.156:9160
CCTV-4,http://nas.hssvm.com:8888/udp/225.1.1.150:5002
CCTV-5,http://php.cqshushu.ggff.net/jzb.php?id=cctv5&公众号【医工学习日志】
CCTV-5,http://omnix.cn:4000/udp/225.1.8.89:8000
CCTV-5,http://qjrhc.jydjd.top:2911/udp/224.1.100.82:11111
CCTV-5,http://nas.hssvm.com:8888/udp/225.1.1.170:5002
CCTV-5+,http://drive.mxmy.net:8888/udp/239.3.1.130:8004
CCTV-5+,http://218.241.192.50:8808/rtp/239.3.1.130:8004
CCTV-6,http://8.138.7.223/tv/mgitv.php?id=31
CCTV-6,http://php.cqshushu.ggff.net/jzb.php?id=cctv6&公众号【医工学习日志】
CCTV-6,http://218.241.192.50:8808/rtp/239.3.1.174:8001
CCTV-6,http://qjrhc.jydjd.top:2911/udp/224.1.100.83:11111
CCTV-7,http://php.cqshushu.ggff.net/jzb.php?id=cctv7&公众号【医工学习日志】
CCTV-7,http://qjrhc.jydjd.top:2911/udp/224.1.100.27:11111
CCTV-7,http://omnix.cn:4000/udp/225.1.8.7:8104
CCTV-8,http://php.cqshushu.ggff.net/jzb.php?id=cctv8&公众号【医工学习日志】
CCTV-8,http://qjrhc.jydjd.top:2911/udp/224.1.100.86:11111
CCTV-8,http://116.128.242.83:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://nas.hssvm.com:8888/udp/225.1.1.196:5002
CCTV-9,http://php.cqshushu.ggff.net/jzb.php?id=cctv9&公众号【医工学习日志】
CCTV-9,http://omnix.cn:4000/udp/225.1.8.9:8112
CCTV-9,http://218.241.192.50:8808/rtp/239.3.1.62:8112
CCTV-9,http://qjrhc.jydjd.top:2911/udp/224.1.100.30:11111
CCTV-9,http://222.169.85.8:9901/tsfile/live/0009_1.m3u8
CCTV-9,http://nas.hssvm.com:8888/udp/225.1.1.119:5002
CCTV-10,http://php.cqshushu.ggff.net/jzb.php?id=cctv10&公众号【医工学习日志】
CCTV-10,http://218.241.192.50:8808/rtp/239.3.1.63:8116
CCTV-10,http://drive.mxmy.net:8888/udp/239.3.1.63:8116
CCTV-10,http://qjrhc.jydjd.top:2911/udp/224.1.100.76:11111
CCTV-12,http://218.241.192.50:8808/rtp/239.3.1.64:8124
CCTV-13,http://ali-m-l.cztv.com/channels/lantian/channel21/1080p.m3u8
CCTV-13,http://qjrhc.jydjd.top:2911/udp/224.1.100.69:11111
CCTV-13,http://218.241.192.50:8808/rtp/239.3.1.124:8128
CCTV-14,http://php.cqshushu.ggff.net/jzb.php?id=cctv14&公众号【医工学习日志】
CCTV-14,http://qjrhc.jydjd.top:2911/udp/224.1.100.80:11111
CCTV-14,http://drive.mxmy.net:8888/udp/239.3.1.65:8132
